product_id,category,brand,model,full_price,price_on_demand,installments_12x
1,Processador,Intel,Core i5 10400F 2.9,"  1.653,79"," 699,00   "," 68,53 "
2,Processador,Intel,Core i5 13600KF 3.,"  3.099,00"," 1.999,00  ","  195,98 "
3,Processador,Intel,Core i5 12400F 2.5,"  1.849,90"," 1.049,00  ","  102,84 "
4,Processador,Intel,Core i3 10105F 3.7,"  826,21 "," 399,00   "," 39,12  "
5,Processador,Intel,Core i5 13400F 2.5,"  2.019,00"," 1.399,00  ","  137,16 "
6,Processador,Intel,Core i5 11400F 2.6,"  1.515,86"," 799,00   "," 78,33 "
7,Processador,Intel,"Core i5 10400, 2.9","  1.722,99"," 899,00   "," 88,14 "
8,Processador,Intel,Core i3 13100 3.4G,"  1.299,00"," 969,00   "," 95,00 "
9,Processador,Intel,Core i7 13700F 2.1,"  3.699,00"," 2.499,00  ","  245,00 "
10,Processador,Intel,Core i5 13400 2.5G,"  2.369,00"," 1.589,00  ","  155,78 "
11,Processador,Intel,Core i3 13100F 3.4,"  1.499,00"," 689,00   "," 67,55 "
12,Processador,Intel,"Core i7 12700F 2,1","  3.599,00"," 2.099,00  ","  205,78 "
13,Processador,Intel,Core i3 10105 3.70,"  1.399,90"," 649,00   "," 63,63 "
14,Processador,Intel,Core i9 11900KF 3.,"  3.722,76"," 2.599,00  ","  254,80 "
15,Processador,Intel,Core i3 10100F 3.6,"  799,90 "," 487,00   "," 47,75  "
16,Processador,Intel,"Core i9 10900, 2.8","  3.722,76"," 2.399,00  ","  235,20 "
17,Processador,Intel,"Core i7 10700K, 3.","  3.503,32"," 2.099,00  ","  205,78 "
18,Processador,Intel,"Core i9 10900K, 3.","  4.467,59"," 2.999,00  ","  294,02 "
19,Processador,Intel,"Core i7 10700, 2.9","  2.619,31"," 1.619,00  ","  158,73 "
20,Processador,Intel,Core i3 10100 3.60,"  1.198,62"," 699,00   "," 68,53 "
21,Processador,Intel,Celeron Dual Core ,"  688,27 "," 345,99   "," 33,92  "
22,Processador,Intel,Core i9 12900KF 3.,"  5.716,47"," 3.289,00  ","  322,45 "
23,Processador,Intel,Celeron G5925 3.6G,"  496,42 "," 269,00   "," 26,37  "
24,Processador,Intel,"Core i7 10700KF, 3","  3.171,04"," 2.029,00  ","  198,92 "
25,Processador,Intel,"Core i7 10700F, 2.","  2.605,51"," 1.499,00  ","  146,96 "
26,Processador,Intel,Core i5-10600K 4.8,"  1.859,00"," 1.299,00  ","  127,35 "
27,Processador,Intel,Core i9 11900 2.5G,"  3.899,00"," 2.999,00  ","  294,02 "
28,Processador,Intel,Core i7 11700 2.5G,"  3.033,11"," 1.899,00  ","  186,18 "
29,Processador,Intel,"Core i9 10900F, 2.","  3.446,89"," 1.999,00  ","  195,98 "
30,Processador,Intel,Core i7 13700 2.1G,"  3.599,00"," 2.659,00  ","  260,69 "
31,Processador,Intel,Core i9 13900 2.0G,"  5.299,90"," 3.899,00  ","  382,26 "
32,Processador,Intel,Core i9 13900KF 3.,"  5.999,00"," 3.999,00  ","  392,06 "
33,Processador,Intel,Core i9 13900K 3.0,"  5.899,00"," 4.199,00  ","  411,67 "
34,Processador,Intel,Core i7 13700K 3.4,"  4.199,00"," 2.999,00  ","  294,02 "
35,Processador,Intel,Core i5 13600K 3.5,"  3.599,00"," 2.299,00  ","  225,39 "
36,Processador,Intel,Core i3 12100 3.3G,"  1.399,90"," 929,00   "," 91,08 "
37,Processador,Intel,Core i3 12100F 3.3,"  1.199,90"," 679,00   "," 66,57 "
38,Processador,Intel,Core i9 12900F 2.4,"  4.499,00"," 2.499,00  ","  245,00 "
39,Processador,Intel,"Core i7 12700 2,1G","  3.499,90"," 2.289,00  ","  224,41 "
40,Processador,Intel,Core i9 12900 2.4G,"  4.999,00"," 3.199,00  ","  313,63 "
41,Processador,Intel,Core i5 12400 2.5G,"  1.999,00"," 1.299,00  ","  127,35 "
42,Processador,Intel,Core i7 12700K 3.6,"  3.899,00"," 2.499,00  ","  245,00 "
43,Processador,Intel,Core i7 12700KF 3.,"  3.799,90"," 2.459,00  ","  241,08 "
44,Processador,Intel,Core i5 12600K 3.7,"  3.099,00"," 1.799,00  ","  176,37 "
45,Processador,Intel,Core i9 12900K 3.2,"  6.718,80"," 3.299,00  ","  323,43 "
46,Processador,Intel,Pentium Gold G6400,"  577,93 "," 339,00   "," 33,24  "
47,Processador,Intel,Core i7 11700K 3.6,"  4.165,38"," 2.099,00  ","  205,78 "
48,Processador,Intel,Core i5 11600K 3.9,"  2.619,31"," 1.729,00  ","  169,51 "
49,Processador,Intel,Core i5 11600 2.8G,"  2.839,90"," 1.599,00  ","  156,77 "
50,Processador,Intel,Core i7 11700KF 3.,"  3.599,90"," 2.349,00  ","  230,29 "
51,Processador,Intel,Core i5 11600KF 3.,"  2.799,90"," 1.189,00  ","  116,57 "
52,Processador,Intel,Core i9 11900F 2.5,"  4.119,90"," 2.689,00  ","  263,63 "
53,Processador,Intel,Celeron G5905 3.5G," 299,00   ","2   29,31"," 70,01 "
